Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44302926,"Love in Focus, Vol. 2 (Love in Focus, #2)",Yoko Nogiri,"Nogiri, Yoko",,"=""1632367696""","=""9781632367693""",4,4.05,Kodansha Comics,Paperback,176,2019,2017,2024/11/07,2024/05/27,,,read,,,,1,0
53071025,Joy at Work: Organizing Your Professional Life,Marie Kondō,"Kondō, Marie","Scott Sonenshein, Cathy Hirano","=""0316423327""","=""9780316423328""",0,3.47,"Little, Brown Spark",Hardcover,244,2020,2020,,2024/11/07,to-read,to-read (#10),to-read,,,,0,0
51942513,Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,"Shetty, Jay",,"=""1982134488""","=""9781982134488""",0,4.20,Simon & Schuster,Hardcover,328,2020,2020,,2024/11/07,currently-reading,currently-reading (#11),currently-reading,,,,1,0
44890091,It Takes What It Takes: How to Think Neutrally and Gain Control of Your Life,Trevor Moawad,"Moawad, Trevor",Andy Staples,"=""0062947125""","=""9780062947123""",1,3.97,HarperOne,Hardcover,272,2020,2020,,2024/11/06,abandoned,abandoned (#4),abandoned,,,,1,0
201750794,The Bright Sword,Lev Grossman,"Grossman, Lev",,"=""0735224048""","=""9780735224049""",0,4.01,Viking,Hardcover,673,2024,2024,,2024/11/05,currently-reading,currently-reading (#10),currently-reading,,,,1,0
53916522,"Dolly Parton, Songteller: My Life in Lyrics",Dolly Parton,"Parton, Dolly",Robert K. Oermann,"=""1797205099""","=""9781797205090""",4,4.03,Chronicle Books,Hardcover,380,2020,2020,2024/11/04,2024/10/17,,,read,,,,1,0
202102026,Grand Prix: An Illustrated History of Formula 1,Will Buxton,"Buxton, Will",,"=""198486324X""","=""9781984863249""",0,4.37,Ten Speed Press,Hardcover,240,2024,,,2024/10/21,currently-reading,currently-reading (#9),currently-reading,,,,1,0
35683024,Unf*ck Yourself: Get Out of Your Head and into Your Life,Gary John Bishop,"Bishop, Gary John",,"=""""","=""""",5,3.83,Yellow Kite,Kindle Edition,227,2017,2016,2024/10/18,2024/10/03,,,read,,,,1,0
57300687,"재혼 황후 3 [Jaehon Hwangho 3]  (The Remarried Empress, Vol. 3)",Alphatart,"Alphatart, Alphatart",,"=""1190153653""","=""9791190153652""",0,4.44,영컴,,288,2021,2021,,2024/10/18,to-read,to-read (#9),to-read,,,,0,0
199844074,"Overgeared, Vol. 3",Team Argo,"Argo, Team","Adam Jankowski, Saenal, Monohumbug(REDICE STUDIO)","=""""","=""9798400900969""",0,4.32,Ize Press,Paperback,280,2024,,,2024/10/18,to-read,to-read (#8),to-read,,,,0,0
10256723,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,"Mitnick, Kevin D.","Steve Wozniak, William L. Simon","=""0316037702""","=""9780316037709""",3,3.96,"Little, Brown and Company",Hardcover,413,2011,2011,2024/10/17,2024/10/04,,,read,,,,1,0
56978341,Solo Leveling 4 (ฉบับนิยาย),Chugong,"Chugong, Chugong",ชู่กง,"=""""","=""9786164644397""",4,4.41,PHOENIX,Paperback,268,2021,,2023/12/19,2023/12/19,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,4.34,Avery,Kindle Edition,319,2018,2018,2024/10/01,2024/08/11,,,read,,,,1,0
62628773,"참아주세요, 대공 1 (Finding Camellia, Vol. 1)",Soye Jin,"Jin, Soye",Surreuk Comics,"=""""","=""9791192186818""",5,4.20, 오렌지디,Paperback,296,2022,,2024/09/27,2024/09/27,,,read,,,,1,0
210048578,"계모인데 딸이 너무 귀여워 5 (Not-Sew-Wicked Stepmom, Vol. 5)",ｉｒｕ,"ｉｒｕ, ｉｒｕ","Yir, 이르, Mo9Rang, 모구랭","=""""","=""9791169635639""",5,4.55,에이템포미디어,Paperback,296,2024,,2024/09/27,2024/07/04,,,read,,,,1,0
214882053,"The Perks of Being an S-Class Heroine, Vol. 3 (The Perks of Being an S-Class Heroine, 3)",Grrr,"Grrr, Grrr","Shirley Chen, IRINBI","=""""","=""9798400902260""",0,4.57,Ize Press,Paperback,320,2024,,,2024/09/22,to-read,to-read (#7),to-read,,,,0,0
209155056,"The Perks of Being an S-Class Heroine, Vol. 2 (The Perks of Being an S-Class Heroine, 2)",Grrr,"Grrr, Grrr",IRINBI,"=""""","=""9798400901928""",5,4.49,Ize Press,Paperback,296,2024,,2024/09/22,2024/09/22,,,read,,,,1,0
52800782,Solo leveling - light Novel 2 (Solo leveling Vol 2),Chugong,"Chugong, Chugong",,"=""""","=""""",4,4.51,Web Novel,ebook,400,,,2023/12/19,2023/12/19,,,read,,,,1,0
61997911,"Solo Leveling, Vol. 6 (Solo Leveling Novel #6)",Chugong,"Chugong, Chugong",Hye Young Im,"=""1975319389""","=""9781975319380""",4,4.51,Yen On,ebook,272,2022,,2023/12/19,2023/12/19,,,read,,,,1,0
58441732,"Solo Leveling, Vol. 3 (novel)",Chugong,"Chugong, Chugong",,"=""197531932X""","=""9781975319328""",4,4.50,Yen On,ebook,328,2021,,2023/12/19,2023/12/19,,,read,,,,1,0
60099321,"Solo Leveling, Vol. 5 (Solo Leveling Novel #5)",Chugong,"Chugong, Chugong",,"=""1975319354""","=""9781975319359""",4,4.53,Yen On,Paperback,268,2022,,2023/12/19,2023/12/19,,,read,,,,1,0
63102690,"Solo Leveling, Vol. 7 (Solo Leveling Novel #7)",Chugong,"Chugong, Chugong","Hye Young Im, J. Torres","=""1975319400""","=""9781975319403""",5,4.46,Yen On,ebook,230,2023,,2024/03/21,2023/12/19,,,read,,,,1,0
60342009,"Solo Leveling, Vol. 8 (Solo Leveling Novel #8)",Chugong,"Chugong, Chugong",,"=""1975319419""","=""9781975319410""",4,4.24,Yen On,Paperback,272,2023,,,2024/03/21,,,read,,,,2,0
58445627,Ganbatte!: The Japanese Art of Always Moving Forward,Albert Liebermann,"Liebermann, Albert",Héctor  García,"=""4805316543""","=""9784805316542""",0,3.80,Tuttle Publishing,Hardcover,160,2021,2021,,2024/08/12,to-read,to-read (#6),to-read,,,,0,0
18945380,James Hunt: The Biography,Gerald Donaldson,"Donaldson, Gerald",,"=""""","=""""",0,4.25,Virgin Digital,Kindle Edition,259,2013,1994,,2024/03/16,abandoned,abandoned (#3),abandoned,,,,1,0
58923067,Your letter,Hyeon A. Cho,"Cho, Hyeon A.",,"=""""","=""""",5,4.61,,,520,,2018,2024/08/10,2024/08/10,,,read,,,,1,0
